Marca temporal,Fecha de Nacimiento,Situación laboral en la qué se encuentra,Horas que le dedica a dicho trabajo por día. (0 si no es empleado) Coloque punto (.) para separar (Ejemplo: 1.5),Días laborales en los que tiene qué desempeñar las horas de trabajo. (0 si no es empleado) ,Tiempo en minutos para llegar a su trabajo en el mejor de los casos (tráfico moderado) Coloque punto (.) para separar (Ejemplo: 30.5)  (0 si no es empleado) ,Distrito de residencia,Distrito donde labura,Nivel de estudios TERMINADOS,Creencia religiosa,¿A cuántos de los siguientes dispositivos inteligentes cuenta con acceso?,¿Tiene conocimiento sobre el concepto de Inteligencia Artificial?,¿Las personas con las que se relaciona (Amigos/Familiares) saben acerca de las Inteligencias Artificiales?,¿Es consciente sobre las capacidades de una Inteligencia Artificial frente al propio ser humano?,¿Conoce alguna Inteligencia Artificial o ha escuchado hablar de alguna?,¿Ha usado alguna Inteligencia Artificial para realizar alguna de estas tareas?,¿Divulgó o divulgaría el tema sobre la Inteligencia Artificial?,¿Cree qué las Inteligencias Artificiales podrían reemplazar a los trabajadores de empleos como Call Center?,¿Cree qué las Inteligencias Artificiales podrían reemplazar a los trabajadores de empleos como contabilidad y cálculo de impuestos?,"¿Cree qué las Inteligencias Artificiales podrían reemplazar a los trabajadores de empleos como Marketing, estudio de mercado y publicidad?",¿Cree que la automatización (Inteligencias Artificiales a cargo de trabajos humanos) será un problema para los trabajadores a finales de esta década?,Cual es su opinión acerca del avance de estas tecnologías.
2/05/2023 22:44:45,23/05/2005,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",,Secundaria completa,Cristiano,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,No del todo,Sí,"Organizar horarios, Armar presentaciones, Consultar definiciones",Si,Sí,Sí,Sí,No,Completamente de acuerdo con respecto a la automatización.
3/05/2023 9:25:27,16/11/2000,Empleado de medio tiempo,,,,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)",Pregrado (Bachiller),Católico,Laptop O Computadora,No del todo,No,No del todo,No,Otros,Si,Sí,Sí,Sí,Sí,"En desacuerdo, es injusto que la tecnología nos reemplace incluso en tareas simples."
3/05/2023 9:30:24,14/04/2000,Empleado de medio tiempo,,,,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)",Pregrado (Bachiller),Cristiano,Laptop O Computadora,No del todo,Tal vez,Si,No,Otros,Si,Sí,Sí,Sí,Sí,"En desacuerdo, es injusto que la tecnología nos reemplace incluso en tareas simples."
3/05/2023 11:16:57,,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Católico,Laptop O Computadora,No del todo,Tal vez,No del todo,No del todo,"Organizar horarios, Obtener información, Armar presentaciones, Programar",Si,No,No,No,No,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
3/05/2023 13:01:27,13/01/2003,Desempleado,0,0,0,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)",Secundaria completa,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
3/05/2023 19:32:44,4/10/2004,Empleado de medio tiempo,,,,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Cristiano,"Laptop O Computadora, Smartphone",No del todo,Tal vez,Si,Sí,"Organizar horarios, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
4/05/2023 19:39:09,10/11/2004,Desempleado,0,,,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
19/05/2023 7:38:22,14/02/2009,Desempleado,0,0,0,"Lima Sur (San Juan de Miraflores, Villa María del Triunfo, Villa el Salvador, Pachacamac, Lurín, Punta Negra, Punta Hermosa, San Bartolo)",No Laburo,Primaria completa,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
5/05/2023 14:39:30,26/12/2002,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Pregrado (Bachiller),Cristiano,Laptop O Computadora,Sí,Sí,Si,Sí,Programar,No,Sí,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
5/05/2023 17:08:20,10/05/2005,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",No,No,No,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
5/05/2023 18:05:59,13/09/2005,Desempleado,0,0,90,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Sur (San Juan de Miraflores, Villa María del Triunfo, Villa el Salvador, Pachacamac, Lurín, Punta Negra, Punta Hermosa, San Bartolo)",Sin estudios,Hindú,Laptop O Computadora,Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros, Ninguna",Si,Sí,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
5/05/2023 18:06:56,1/03/2005,Empleado de medio tiempo,0,0,90,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)","Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",Secundaria completa,Cristiano,Laptop O Computadora,Sí,No,Si,No del todo,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
5/05/2023 18:17:15,14/03/2005,Desempleado,0,0,0,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",Si,Sí,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
5/05/2023 19:57:11,25/11/2005,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Consultar definiciones, Programar",Si,Sí,Sí,No,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
6/05/2023 11:39:16,20/02/2005,Desempleado,0,0,60,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",Secundaria completa,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Organizar horarios,Si,Sí,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
9/05/2023 15:15:57,6/02/2006,Desempleado,0,0,90,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Ninguno,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Consultar definiciones, Otros",Si,Sí,Sí,Sí,No,Completamente de acuerdo con respecto a la automatización.
13/05/2023 19:59:15,11/12/1986,Empleado de tiempo completo,8,5,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Obtener información,Si,No,No,No,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
13/05/2023 20:12:41,14/12/1988,Empleado de tiempo completo,8,5,12,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Obtener información,Si,No,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
13/05/2023 20:21:55,21/03/1987,Empleado de tiempo completo,8,5,40,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Consultar definiciones",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
14/05/2023 7:08:22,13/02/1991,Empleado de tiempo completo,8,5,40,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Pregrado (Bachiller),Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Consultar definiciones,Si,Sí,No,No,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
14/05/2023 7:44:34,19/11/1960,Empleado de tiempo completo,12,7,1,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Tecnico,Católico,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,No,Sí,Programar,Si,Sí,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
15/05/2023 8:39:53,24/03/2005,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Cristiano,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,No,No,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
16/05/2023 11:07:39,6/10/2004,Desempleado,0,0,,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",,Secundaria completa,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,No del todo,Sí,"Obtener información, Consultar definiciones",Si,Sí,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
16/05/2023 11:43:29,29/03/2005,Desempleado,0,0,0,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",,Secundaria completa,Agnóstico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",Si,No,No,No,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 15:10:59,13/04/1971,Empleado de tiempo completo,10,5,40,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)","Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)",Master,Ninguno ,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Obtener información,No,Sí,Sí,No,No,Completamente de acuerdo con respecto a la automatización.
21/05/2023 13:17:49,2/04/2005,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",No Laburo,Secundaria completa,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Consultar definiciones,Si,Sí,No,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 14:15:10,29/12/1980,Empleado de tiempo completo,8,5,15,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones",Si,Sí,No,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
21/05/2023 14:27:58,4/02/1989,Empleado de tiempo completo,8.5,5,35,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Diplomado,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Obtener información,Si,No,No,No,No,Completamente de acuerdo con respecto a la automatización.
21/05/2023 14:38:45,27/05/1986,Empleado de tiempo completo,6,5,70,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Sur (San Juan de Miraflores, Villa María del Triunfo, Villa el Salvador, Pachacamac, Lurín, Punta Negra, Punta Hermosa, San Bartolo)",Master,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea, Consultar definiciones",Si,Sí,Sí,Sí,No,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
